#Time (s);Angle (degrees)
0.891715;79.5789
0.894811;78.6987
0.897936;77.8194
0.90109;76.9401
0.904275;76.0608
0.907491;75.1824
0.91074;74.304
0.914022;73.4265
0.917339;72.549
0.920691;71.6724
0.92408;70.7967
0.927507;69.921
0.930973;69.0453
0.934479;68.1714
0.938028;67.2975
0.94162;66.4245
0.945257;65.5515
0.948941;64.6803
0.952673;63.8091
0.956456;62.9388
0.960291;62.0694
0.964181;61.2009
0.968129;60.3333
0.972135;59.4666
0.976205;58.6017
0.980339;57.7368
0.984542;56.8737
0.988817;56.0124
0.993167;55.152
0.997597;54.2925
1.00211;53.4357
1.00671;52.5798
1.01141;51.7266
1.01621;50.8743
1.02111;50.0247
1.02612;49.1778
1.03126;48.3336
1.03653;47.4921
1.04193;46.6542
1.04749;45.819
1.05321;44.9883
1.05911;44.163
1.0652;43.3413
1.0715;42.5268
1.07805;41.7177
1.08485;40.9176
1.09195;40.1256
1.09937;39.3453
1.10718;38.5776
1.11541;37.8261
1.12415;37.0944
1.13348;36.3888
1.14349;35.7156
1.15435;35.0874
1.1662;34.5195
1.17924;34.0398
1.19362;33.6843
1.20932;33.5052
1.22582;33.5529
1.24209;33.8355
1.25716;34.3071
1.27073;34.9029
1.28291;35.577
1.29394;36.3006
1.30404;37.0584
1.31338;37.8387
1.32209;38.637
1.33028;39.4479
1.33802;40.2696
1.34537;41.0994
1.35239;41.9355
1.35911;42.777
1.36557;43.6239
1.37179;44.4744
1.3778;45.3285
1.38362;46.1853
1.38926;47.0448
1.39474;47.907
1.40007;48.771
1.40526;49.6377
1.41032;50.5053
1.41527;51.3747
1.4201;52.245
1.42483;53.1171
1.42947;53.9901
1.43401;54.864
1.43846;55.7397
1.44283;56.6154
1.44712;57.492
1.45134;58.3704
1.45549;59.2488
1.45957;60.1281
1.46359;61.0074
1.46755;61.8885
1.47145;62.7696
1.47529;63.6507
1.47908;64.5327
1.48282;65.4156
1.48651;66.2985
1.49015;67.1823
1.49374;68.0661
1.49729;68.9499
1.5008;69.8346
1.50427;70.7202
1.5077;71.6049
1.51109;72.4914
1.51444;73.377
1.51776;74.2635
1.52104;75.15
1.52428;76.0365
1.5275;76.9239
1.53068;77.8113
1.53384;78.6987
1.53696;79.587
1.54005;80.4753
1.54312;81.3636
1.54615;82.2519
1.54916;83.1402
1.55215;84.0294
1.55511;84.9186
1.55804;85.8078
1.56095;86.697
1.56384;87.5871
1.5667;88.4763
1.56954;89.3664
1.57236;90.25668
1.57516;91.14696
1.57793;92.03733
1.58069;92.92788
1.58342;93.81861
1.58614;94.70943
1.58883;95.60034
1.59151;96.49143
1.59417;97.38261
1.59681;98.27388
1.59943;99.16533
1.60204;100.05687
1.60463;100.9485
1.6072;101.84031
1.60975;102.73212
1.61229;103.62411
1.61481;104.51619
1.61732;105.40827
1.61981;106.30053
1.62229;107.19288
1.62475;108.08532
1.6272;108.97785
1.62964;109.87047
1.63206;110.76318
1.63446;111.65598
1.63686;112.54878
1.63923;113.44167
1.6416;114.33474
1.64395;115.22781
1.6463;116.12097
1.64862;117.01413
1.65094;117.90747
1.65325;118.8009
1.65554;119.69424
1.65782;120.58785
1.66009;121.48137
1.66235;122.37498
1.66459;123.26868
1.66683;124.16238
1.66905;125.05617
1.67127;125.95014
1.67347;126.84402
1.67566;127.73799
1.67785;128.63205
1.68002;129.52611
1.68218;130.42026
1.68434;131.31441
1.68648;132.20874
1.68861;133.10298
1.69074;133.9974
1.69285;134.89173
1.69496;135.78615
1.69706;136.68066
1.69914;137.57526
1.70122;138.46977
1.70329;139.36446
1.70536;140.25906
1.70741;141.15384
1.70945;142.04862
1.71149;142.9434
1.71352;143.83818
1.71554;144.73314
1.71755;145.6281
1.71956;146.52306
1.72155;147.41802
1.72354;148.31307
